S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
199,Deen Dayal Upadhyaya College,B.A Program (Economics + Political Science),0,0,0,2,0,0,1
200,Deen Dayal Upadhyaya College,B.A Program (History + Political Science),0,0,0,0,0,0,0
201,Commerce,B.Com,2,1,0,0,0,0,6
202,Commerce,B.Com (Hons.),2,3,0,1,0,0,3
203,Commerce,B.A. (Hons.) Economics,0,0,0,4,0,0,3
204,Commerce,B.A. (Hons.) English,1,1,0,0,0,0,1
205,Commerce,B.A. (Hons.) History,4,1,0,0,0,0,1
206,Commerce,B.A. (Hons.) Political Science,2,1,0,0,0,0,0
207,Commerce,B.A. (Hons.) Journalism,0,1,0,0,0,0,0
208,Commerce,B.A Program (Hindi + History),0,1,1,0,0,0,1
209,Commerce,B.A Program (Hindi + Political Science),0,0,0,1,0,0,1
210,Commerce,"B.A Program (Advertising, Sales Promotion and Sales Management (ASPSM) + Economics)",0,0,0,0,0,0,0
211,Commerce,B.A Program (Economics + Human Resource Management (HRM)),1,0,0,0,0,0,0
212,Commerce,B.A Program (History + Political Science),0,0,0,0,0,0,0
213,Commerce,B.A Program (English + German),1,1,0,1,0,0,0
214,Commerce,B.A Program (Hindi + Physical Education),0,0,0,1,1,0,0
215,Commerce,B.A Program (Economics + Mathematics),1,0,2,1,0,0,0
216,Commerce,B.A Program (English + Spanish),0,0,0,0,0,0,0
217,Commerce,B.A Program (Computer Applications + Mathematics),0,1,0,0,0,0,1
218,Commerce,B.A Program (Operational Research (OR) + Computer Applications),1,0,1,1,0,0,1
219,Commerce,B.A Program (Accounting and Finance + Computer Applications),0,0,0,1,0,0,1
220,Delhi School of Journalism,Five Year Integrated Program in Journalism,10,2,3,4,2,0,2
221,Romance Studies,B.A. (Hons.) French,0,2,0,3,0,0,2
222,Romance Studies,B.A. (Hons.) German,0,0,0,2,1,0,1
223,Romance Studies,B.A. (Hons.) Italian,0,2,1,2,1,0,2
224,Romance Studies,B.A. (Hons.) Spanish,1,0,0,0,1,0,2
225,Ugrian Studies,B.A. (Hons.) Russian,6,3,1,3,4,0,2
